t (s),v (m/s)
1142.292153,14.72000027
1143.281086,14.84000015
1144.2895,14.64999962
1145.300459,14.47000027
1146.301752,14.03999996
1147.293119,13.72000027
1148.295277,13.56000042
1149.287669,13.28999996
1150.314436,13.07999992
1151.300688,12.88000011
1152.305968,12.55000019
1153.289965,13.09000015
1154.288914,13.68000031
1155.286227,13
1156.280819,13.18000031
1157.300085,13.31999969
1158.296679,13.93999958
1159.293705,13.64000034
1160.309472,13.43999958
1161.294812,13.44999981
1162.295894,13.51000023
1163.300385,13.22000027
1164.283832,13
1165.295201,12.93999958
1166.291889,12.69999981
1167.292195,12.64000034
1168.297654,12.88000011
1169.291861,13.26000023
1170.280196,13.69999981
1171.306395,14.17000008
1172.297994,14.68000031
1173.300844,14.85000038
1174.294709,14.93000031
1175.294296,15.47999954
1176.298703,15.43999958
1177.30527,15.77999973
1178.294274,16.10000038
1179.290265,16.30999947
1180.288759,16.63999939
1181.294238,16.97999954
1182.298321,17.28000069
1183.308321,17.5
1184.302425,17.86000061
1185.294568,17.18000031
1186.28916,15.55000019
1187.287797,16.38999939
1188.304398,16.72999954
1189.2938,16.98999977
1190.297885,17.09000015
1191.289975,17.26000023
1192.291534,17.80999947
1193.288822,17.96999931
1194.294538,17.70000076
1195.302561,15.88000011
1196.282267,15.23999977
1197.294626,14.67000008
1198.291789,14.92000008
1199.291314,13.68999958
1200.301988,14.17000008
1201.294402,14.44999981
1202.289145,14.56000042
1203.290145,14.48999977
1204.304763,14.5
1205.303136,13.81999969
1206.293529,13.60999966
1207.30561,13.68000031
1208.288883,13.38000011
1209.307046,13.40999985
1210.2939,13.31000042
1211.298251,13.52999973
1212.288778,13.81000042
1213.28776,14.43000031
1214.289494,14.43000031
1215.304987,14.72999954
1216.283217,14.92000008
1217.278047,15.38000011
1218.290082,15.60000038
1219.296507,15.71000004
1220.284976,15.71000004
1221.305291,15.63000011
1222.30026,15.47999954
1223.289657,15.27000046
1224.289636,15.10000038
1225.306114,15.03999996
1226.289026,15.02000046
1227.298118,14.77999973
1228.292817,14.84000015
